Estado;CAMPAIGN;Palabra clave;Tipo de coincidencia;Estado;Puja recomendada (bajo)(EUR);Puja recomendada (mediana)(EUR);Puja recomendada (alto)(EUR);Puja por palabra clave(EUR);PI del top de búsquedas;Impresiones;Clics;Tasa de clics (CTR);Inversión(EUR);Costo por clic (CPC)(EUR);Pedidos;Ventas(EUR);ACOS;KENP leídas;Estimación de regalías de KENP(EUR)
ENABLED;Kindle;libros 12 años niñas;BROAD;CAMPAIGN_PAUSED;0.18;0.27;0.49;0.08;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 12 años niñas;PHRASE;CAMPAIGN_PAUSED;;;;0.08;;9;1;0.1111;0.12;0.12;0;0.00;;0;0.00
ENABLED;Kindle;libros 12 años niñas;EXACT;CAMPAIGN_PAUSED;;;;0.08;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 12 años niño;BROAD;CAMPAIGN_PAUSED;0.20;0.27;0.30;0.08;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 12 años niño;PHRASE;CAMPAIGN_PAUSED;;;;0.08;;1;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 12 años niño;EXACT;CAMPAIGN_PAUSED;;;;0.08;;22;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 12-14 años;BROAD;CAMPAIGN_PAUSED;;;;0.08;;18;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 12-14 años;PHRASE;CAMPAIGN_PAUSED;0.13;0.20;0.20;0.08;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 12-14 años;EXACT;CAMPAIGN_PAUSED;0.13;0.20;0.20;0.08;;2;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 13 a 14 años;PHRASE;CAMPAIGN_PAUSED;;;;0.08;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 13 a 14 años;EXACT;CAMPAIGN_PAUSED;;;;0.08;;70;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 13 a 14 años;BROAD;CAMPAIGN_PAUSED;0.20;0.28;0.28;0.08;;66;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 13 años;BROAD;CAMPAIGN_PAUSED;0.16;0.20;0.31;0.08;;75;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 13 años;EXACT;CAMPAIGN_PAUSED;0.14;0.17;0.33;0.08;;172;1;0.0058;0.33;0.33;0;0.00;;0;0.00
ENABLED;Kindle;libros 13 años;PHRASE;CAMPAIGN_PAUSED;0.14;0.19;0.31;0.08;;13;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 14 años;BROAD;CAMPAIGN_PAUSED;0.15;0.20;0.30;0.08;;84;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 14 años;EXACT;CAMPAIGN_PAUSED;0.13;0.21;0.21;0.08;;377;3;0.008;1.10;0.37;0;0.00;;0;0.00
ENABLED;Kindle;libros 14 años;PHRASE;CAMPAIGN_PAUSED;0.13;0.18;0.18;0.08;;40;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 14 años mas vendido;BROAD;CAMPAIGN_PAUSED;;;;0.08;;151;1;0.0066;0.07;0.07;0;0.00;;0;0.00
ENABLED;Kindle;libros 14 años mas vendido;PHRASE;CAMPAIGN_PAUSED;;;;0.08;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 14 años mas vendido;EXACT;CAMPAIGN_PAUSED;;;;0.08;;47;1;0.0213;0.16;0.16;0;0.00;;0;0.00
ENABLED;Kindle;libros 15 años;BROAD;CAMPAIGN_PAUSED;0.16;0.21;0.30;0.08;;56;1;0.0179;0.64;0.64;0;0.00;;0;0.00
ENABLED;Kindle;libros 15 años;PHRASE;CAMPAIGN_PAUSED;;;;0.08;;20;3;0.15;0.50;0.17;0;0.00;;0;0.00
ENABLED;Kindle;libros 15 años;EXACT;CAMPAIGN_PAUSED;;;;0.08;;94;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 16 años;BROAD;CAMPAIGN_PAUSED;;;;0.08;;200;3;0.015;0.47;0.16;0;0.00;;0;0.00
ENABLED;Kindle;libros 16 años;EXACT;CAMPAIGN_PAUSED;;;;0.08;;128;1;0.0078;0.21;0.21;0;0.00;;0;0.00
ENABLED;Kindle;libros 17 años;PHRASE;CAMPAIGN_PAUSED;;;;0.08;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 17 años;EXACT;CAMPAIGN_PAUSED;;;;0.08;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 17 años;BROAD;CAMPAIGN_PAUSED;;;;0.08;;32;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;Kindle;libros 18 años;BROAD;CAMPAIGN_PAUSED;0.13;0.15;0.20;0.08;;192;1;0.0052;0.20;0.20;0;0.00;;0;0.00
ENABLED;Kindle;libros 18 años;PHRASE;CAMPAIGN_PAUSED;;;;0.08;;0;0;;0.00;0.00;0;0.00;;0;0.00
