Estado;CAMPAIGN;Palabra clave;Tipo de coincidencia;Estado;Puja recomendada (bajo)(EUR);Puja recomendada (mediana)(EUR);Puja recomendada (alto)(EUR);Puja por palabra clave(EUR);PI del top de búsquedas;Impresiones;Clics;Tasa de clics (CTR);Inversión(EUR);Costo por clic (CPC)(EUR);Pedidos;Ventas(EUR);ACOS;KENP leídas;Estimación de regalías de KENP(EUR)
ENABLED;PHASE;novela juvenil fantasia;PHRASE;CAMPAIGN_PAUSED;;;;0.10;75.0%;17;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novela juvenil 25 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novela juvenil 24 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novela juvenil 23 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novela juvenil 22 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novela juvenil 21 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novela juvenil 20 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;1;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novela juvenil 19 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novela juvenil 18 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;>95%;3;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novela juvenil 17 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;10;1;0.1;0.28;0.28;0;0.00;;0;0.00
ENABLED;PHASE;novela juvenil 16 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;8888888888888880%;22;2;0.0909;1.38;0.69;1;15.99;0.0863;0;0.00
ENABLED;PHASE;novela juvenil 15 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;80.0%;10;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novela juvenil 14 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;68.75%;84;2;0.0238;0.73;0.37;0;0.00;;0;0.00
ENABLED;PHASE;novela juvenil 13 años;PHRASE;CAMPAIGN_PAUSED;0.15;0.31;0.31;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novela juvenil 12 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novela juvenil 11 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novela juvenil;PHRASE;CAMPAIGN_PAUSED;0.14;0.20;0.30;0.10;4117647058823520%;34;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novela historica;PHRASE;CAMPAIGN_PAUSED;0.16;0.21;0.34;0.10;<5%;5046;7;0.0014;1.11;0.16;0;0.00;;0;0.00
ENABLED;PHASE;novela fantasia medieval;PHRASE;CAMPAIGN_PAUSED;;;;0.10;>95%;1;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novela fantasia juvenil;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novela fantasia;PHRASE;CAMPAIGN_PAUSED;0.14;0.17;0.34;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novela de fantasia;PHRASE;CAMPAIGN_PAUSED;0.14;0.17;0.34;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novedades libros juveniles;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;2;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novedades libros fantasia;PHRASE;CAMPAIGN_PAUSED;;;;0.10;>95%;2;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;novedades libros;PHRASE;CAMPAIGN_PAUSED;0.16;0.19;0.28;0.10;<5%;103;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;nacidos de la bruma trilogia;PHRASE;CAMPAIGN_PAUSED;0.12;0.14;0.25;0.10;>95%;133;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;nacidos de la bruma;PHRASE;CAMPAIGN_PAUSED;0.12;0.13;0.22;0.10;8980477223427330%;6075;3;0.0005;2.23;0.74;0;0.00;;0;0.00
ENABLED;PHASE;mejores libros para adolescentes;PHRASE;CAMPAIGN_PAUSED;0.18;0.20;0.40;0.23;379746835443038%;1127;2;0.0018;0.70;0.35;0;0.00;;0;0.00
ENABLED;PHASE;mejores libros;PHRASE;CAMPAIGN_PAUSED;0.15;0.20;0.33;0.10;30.0%;7748;8;0.001;2.99;0.37;0;0.00;;0;0.00
ENABLED;PHASE;mejor libro para 25 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;mejor libro para 24 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;mejor libro para 23 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;mejor libro para 22 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;mejor libro para 21 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;mejor libro para 20 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;mejor libro para 19 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;mejor libro para 18 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;mejor libro para 17 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;mejor libro para 16 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;mejor libro para 15 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;mejor libro para 14 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;>95%;3;0;0;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;mejor libro para 13 años;PHRASE;CAMPAIGN_PAUSED;0.17;0.19;0.21;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;mejor libro para 12 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;mejor libro para 11 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
ENABLED;PHASE;mejor libro 25 años;PHRASE;CAMPAIGN_PAUSED;;;;0.10;;0;0;;0.00;0.00;0;0.00;;0;0.00
